"SID","PMID","DOI","EID","Date","Title"
"0028054895","8291119","","2-s2.0-0028054895","1994-01-01","Selective depletion of CD8&lt;sup&gt;+&lt;/sup&gt; cells for prevention of graft-versus-host disease after bone marrow transplantation: A randomized controlled trial"
"2942712161","9053463","","2-s2.0-2942712161","1997-02-01","Donor leukocyte infusions in 140 patients with relapsed malignancy after allogeneic bone marrow transplantation"
"0023107657","3495768","10.1016/0030-4220(87)90196-4","2-s2.0-0023107657","1987-01-01","A long-term prospective clinical study of oral complications during conventional chemotherapy for acute leukemia"
"0031669128","9758349","","2-s2.0-0031669128","1998-10-12","Acyclovir-resistant herpes simplex virus infections in a bone marrow transplant population"
"0025138135","2342592","","2-s2.0-0025138135","1990-01-01","Oral complications of cancer therapies. Pretreatment oral assessment."
"0019996904","7083231","","2-s2.0-0019996904","1982-01-01","Oral complications of cancer chemotherapy: Present status and future studies"
"0025002293","","","2-s2.0-0025002293","1990-01-01","Management of acute viral infections"
"0031007179","9456644","","2-s2.0-0031007179","1997-03-01","Analysis of oral manifestations of leukemia: A retrospective study"
"0024972727","2535680","","2-s2.0-0024972727","1989-04-17","Oral complications of cancer therapies: diagnosis, prevention, and treatment."
"0034134118","","","2-s2.0-0034134118","2000-12-01","Leukemia"
"0031944107","9659518","10.1016/S1368-8375(97)00053-5","2-s2.0-0031944107","1998-01-01","Mucositis as a biological process: A new hypothesis for the development of chemotherapy-induced stomatotoxicity"
"0025079896","2188151","","2-s2.0-0025079896","1990-01-01","Recognition, incidence, and management of oral graft-versus-host disease"
"0025407998","2140102","","2-s2.0-0025407998","1990-04-01","Oral care of chemotherapy patients."
"0033090469","10102604","","2-s2.0-0033090469","1999-12-01","Optimum dental radiography in bone marrow transplant patients"
"0020620217","6190518","","2-s2.0-0020620217","1983-01-01","Myeloid-associated differentiation antigens on stem cells and their progeny identified by monoclonal antibodies"
"0032869052","10530710","","2-s2.0-0032869052","1999-10-28","Antibody-targeted therapy for myeloid leukemia"
"0034050268","10720144","","2-s2.0-0034050268","2000-03-22","Monoclonal antibodies to the myeloid stem cells: Therapeutic implications of CMA-676, a humanized anti-CD33 antibody calicheamicin conjugate"
"0034537334","11146162","10.1016/S0301-472X(00)00545-2","2-s2.0-0034537334","2000-12-01","Chronic myelogenous leukemia primitive hematopoietic progenitors demonstrate increased sensitivity to growth factor-induced proliferation and maturation"
"0035810145","11287980","10.1056/NEJM200104053441409","2-s2.0-0035810145","2001-04-05","Targeting the BCR-ABL tyrosine kinase in chronic myeloid leukemia"
"0031951277","9523224","10.1016/S0889-8588(05)70495-0","2-s2.0-0031951277","1998-03-28","Biology of chronic myelogenous leukemia"
"0023410428","3498165","","2-s2.0-0023410428","1987-09-01","In vitro transformation of immature hematopoietic cells by the P210 BCR/ABL oncogene product of the Philadelphia chromosome."
"0031171762","9178724","","2-s2.0-0031171762","1997-06-01","Pathophysiology of CML: Do defects in integrin function contribute to the premature circulation and massive expansion of the BCR/ABL positive clone?"
"0037186915","11870241","10.1056/NEJMoa011573","2-s2.0-0037186915","2002-02-28","Hematologic and cytogenetic responses to imatinib mesylate in chronic myelogenous leukemia"
"0034846550","11523024","","2-s2.0-0034846550","2001-09-26","Farnesyl protein transferase inhibitors as targeted therapies for hematologic malignancies"
"0033014304","","","2-s2.0-0033014304","1999-01-01","RAS and leukemia: From basic mechanisms to gene-directed therapy"
"0035038845","11331434","","2-s2.0-0035038845","2001-05-16","History of the development of arsenic derivatives in cancer therapy"
"0031137591","9129058","","2-s2.0-0031137591","1997-05-01","Delicious poison: arsenic trioxide for the treatment of leukemia."
"0002202054","","10.1001/jama.1931.02730010007002","2-s2.0-0002202054","1931-07-04","Arsenic as a therapeutic agent in chronic myelogenous leukemia: Preliminary report"
"0030610687","9129042","","2-s2.0-0030610687","1997-05-01","Use of arsenic trioxide (As2O3) in the treatment of acute promyelocytic leukemia (AFL): II. Clinical efficacy and pharmacokinetics in relapsed patients"
"15844398784","8605358","","2-s2.0-15844398784","1996-04-15","Establishment of a human acute promyelocytic leukemia-ascites model in SCID mice"
"0032487923","9801394","10.1056/NEJM199811053391901","2-s2.0-0032487923","1998-11-05","Complete remission after treatment of acute promyelocytic leukemia with arsenic trioxide"
"0035884639","11559723","","2-s2.0-0035884639","2001-09-15","United States multicenter study of arsenic trioxide in relapsed acute promyelocytic leukemia"
"0000531696","9450572","","2-s2.0-0000531696","1998-01-21","Arsenic trioxide as an inducer of apoptosis and loss of PML/RARα protein in acute promyelocytic leukemia cells"
"0030610686","9129041","","2-s2.0-0030610686","1997-05-01","Use of arsenic trioxide (As2O3) in the treatment of acute promyelocytic leukemia (APL): I. As2O3 exerts dose-dependent dual effects on APL cells"
"0031657760","9766529","10.1002/(SICI)1097-4652(199811)177:2&lt;324::AID-JCP14&gt;3.0.CO;2-9","2-s2.0-0031657760","1998-11-01","Involvement of reactive oxygen species and caspase 3 activation in arsenite-induced apoptosis"
"0033779445","11021749","","2-s2.0-0033779445","2000-10-25","Involvement of CD95-independent caspase 8 activation in arsenic trioxide-induced apoptosis"
"0033168034","10397243","","2-s2.0-0033168034","1999-07-01","Arsenic induces apoptosis through a c-Jun NH2-terminal kinase- dependent, p53-independent pathway"
"0032933610","9864170","","2-s2.0-0032933610","1999-01-01","Malignant cells can be sensitized to undergo growth inhibition and apoptosis by arsenic trioxide through modulation of the glutathione redox system"
"0034680928","10967126","10.1074/jbc.M007204200","2-s2.0-0034680928","2000-11-17","Inhibition of NF-κB activation by arsenite through reaction with a critical cysteine in the activation loop of IκB kinase"
"18844477979","10910048","","2-s2.0-18844477979","2000-07-01","BCR-ABL mediates arsenic trioxide-induced apoptosis independently of its aberrant kinase activity"
"0034142368","10648417","","2-s2.0-0034142368","2000-02-01","Arsenic induces apoptosis of multidrug-resistant human myeloid leukemia cells thin express Bcr-Abl or overexpress MDR, MRP, Bcl-2, or Bcl-x(L)"
"0034743735","11368438","10.1038/sj.leu.2402104","2-s2.0-0034743735","2001-06-12","Co-treatment with As2O3 enhances selective cytotoxic effects of STI-571 against Bcr-Abl-positive acute leukemia cells"
"0030934542","9087564","10.1002/(SICI)1098-2264(199704)18:4&lt;246::AID-GCC2&gt;3.0.CO;2-0","2-s2.0-0030934542","1997-04-01","Factors influencing the false positive and negative rates of BCR-ABL fluorescence in situ hybridization"
"0032079490","9558393","","2-s2.0-0032079490","1998-05-01","Highly sensitive fluorescence in situ hybridization method to detect double BCR/ABL fusion and monitor response to therapy in chronic myeloid leukemia"
"0031662921","9739013","10.1002/(SICI)1098-2264(199810)23:2&lt;109::AID-GCC3&gt;3.0.CO;2-6","2-s2.0-0031662921","1998-10-01","A two-color BCR-ABL probe that greatly reduces the false positive and false negative rates for fluorescence in situ hybridization in chronic myeloid leukemia"
"0035885928","11535505","10.1182/blood.V98.6.1732","2-s2.0-0035885928","2001-09-15","Deletions of the derivative chromosome 9 occur at the time of the Philadelphia translocation and provide a powerful and independent prognostic indicator in chronic myeloid leukemia"
"0035383839","11369654","10.1182/blood.V97.11.3581","2-s2.0-0035383839","2001-06-01","Primary chromosomal rearrangements of leukemia are frequently accompanied by extensive submicroscopic deletions and may lead to altered prognosis"
"0032822709","10492071","","2-s2.0-0032822709","1999-09-22","Atypical BCR and ABL D-FISH patterns in chronic myeloid leukemia and their possible role in therapy"
"7144256540","9633901","10.1046/j.1365-2141.1998.00717.x","2-s2.0-7144256540","1998-06-22","Interphase cytogenetics and competitive RT-PCR for residual disease monitoring in patients with chronic myeloid leukaemia during interferon-α therapy"
"0030749221","9269756","","2-s2.0-0030749221","1997-08-15","Improved sensitivity of BCR-ABL detection: A triple-probe three-color fluorescence in situ hybridization system"
"15644370596","9563879","","2-s2.0-15644370596","1998-01-01","Philadelphia chromosome-positive myeloid cells in the peripheral blood of chronic myelogenous leukemia patients: Comparison with the frequency detected in cycling cells of the bone marrow"
"0035132040","11233781","10.1007/s002770000237","2-s2.0-0035132040","2001-02-27","Predominantly BCR-ABL negative myeloid precursors in interferon-α treated chronic myelogenous leukemia: A follow-up study of peripheral blood colony-forming cells with fluorescence in situ hybridization"
"0033258250","10567680","","2-s2.0-0033258250","1999-12-01","A cytogenetic and fluorescence in situ hybridization evaluation of interferon-alpha in the treatment of chronic myeloid leukemia."
"0028233960","8035612","","2-s2.0-0028233960","1994-07-01","T lymphocytes in chronic myelogenous leukaemia (CML): No evidence of the BCR/ABL fusion gene detected by fluorescence in situ hybridization in 14 patients"
"0033991906","10640140","10.1016/S0165-4608(99)00120-X","2-s2.0-0033991906","2000-01-15","A multicenter investigation with D-FISH BCR/ABL1 probes"
"0029098199","7662980","","2-s2.0-0029098199","1995-09-15","Hypermetaphase fluorescence in situ hybridization for quantitative monitoring of Philadelphia chromosome-positive cells in patients with chronic myelogenous leukemia during treatment"
"0025854383","2001086","","2-s2.0-0025854383","1991-04-01","Interferon-alpha produces sustained cytogenetic responses in chronic myelogenous leukemia: Philadelphia chromosome-positive patients"
"0027997798","7832859","","2-s2.0-0027997798","1994-01-01","Predicting complete cytogenetic response in chronic myelogenous leukemia patients treated with recombinant interferon α [4]"
"18144451171","11698293","10.1182/blood.V98.10.3074","2-s2.0-18144451171","2001-11-15","Chronic myeloid leukemia and interferon-α: A study of complete cytogenetic responders"
"0031470510","9432048","","2-s2.0-0031470510","1997-12-01","The rate and kinetics of molecular response to donor leucocyte transfusions in chronic myeloid leukaemia patients treated for relapse after allogeneic bone marrow transplantation"
"0029005051","7742530","","2-s2.0-0029005051","1995-01-01","Quantification of the breakpoint cluster region rearrangement for clinical monitoring in philadelphia chromosome-positive chronic myeloid leukemia"
"0031034771","8996121","","2-s2.0-0031034771","1997-01-01","Value of molecular monitoring during the treatment of chronic myeloid leukemia: A Cancer and Leukemia Group B study"
"10144250938","8853030","","2-s2.0-10144250938","1996-10-01","Comparison of bcr-abl protein expression and Philadelphia chromosome analyses in chronic myelogenous leukemia patients"
"13344250478","8608246","","2-s2.0-13344250478","1996-02-15","Quantification of residual disease in chronic myelogenous leukemia patients on interferon-α therapy by competitive polymerase chain reaction"
"0030827311","9376660","","2-s2.0-0030827311","1997-10-02","BCR-ABL gene variants"
"0030874462","9376671","","2-s2.0-0030874462","1997-10-02","Assessing residual leukaemia"
"0032211172","9787174","","2-s2.0-0032211172","1998-11-01","The presence of typical and atypical BCR-ABL fusion genes in leukocytes of normal individuals: Biologic significance and implications for the assessment of minimal residual disease"
"0028307601","8043457","","2-s2.0-0028307601","1994-01-01","A comparison of the sensitivity of blood and bone marrow for the detection of minimal residual disease in chronic myeloid leukaemia"
"0027275074","8400243","","2-s2.0-0027275074","1993-09-15","Competitive polymerase chain reaction to estimate the number of BCR-ABL transcripts in chronic myeloid leukemia patients after bone marrow transplantation"
"0027439395","8093920","10.1016/0140-6736(93)92619-5","2-s2.0-0027439395","1993-01-30","Early detection of relapse after bone marrow transplantation in patients with chronic myelogenous leukaemia"
"0031840623","9722305","10.1046/j.1365-2141.1998.00823.x","2-s2.0-0031840623","1998-09-01","Quantitation of minimal residual disease in Philadelphia chromosome positive chronic myeloid leukaemia patients using real-time quantitative RT- PCR"
"0032748325","10583264","","2-s2.0-0032748325","1999-12-16","Monitoring chronic myeloid leukaemia therapy by real-time quantitative PCR in blood is a reliable alternative to bone marrow cytogenetics"
"0035869422","11238091","10.1182/blood.V97.6.1560","2-s2.0-0035869422","2001-03-15","Early detection of BCR-ABL transcripts by quantitative reverse transcriptase-polymerase chain reaction predicts outcome after allogeneic stem cell transplantation for chronic myeloid leukemia"
"0035672953","11736937","10.1046/j.1365-2141.2001.03155.x","2-s2.0-0035672953","2001-12-01","Molecular studies in patients with chronic myeloid leukaemia in remission 5 years after allogeneic stem cell transplant define the risk of subsequent relapse"
"0029100438","7655033","","2-s2.0-0029100438","1995-01-01","Graft-versus-leukemia effect of donor lymphocyte transfusions in marrow grafted patients"
"0033962014","10607686","","2-s2.0-0033962014","2000-01-01","Comparison of single-dose and escalating-dose regimens of donor lymphocyte infusion for relapse after allografting for chronic myeloid leukemia"
"0034667532","11023502","","2-s2.0-0034667532","2000-10-15","Durability of responses following donor lymphocyte infusions for patients who relapse after allogeneic stem cell transplantation for chronic myeloid leukemia"
"18744419356","10607685","","2-s2.0-18744419356","2000-01-01","Molecular heterogeneity in complete cytogenetic responders after interferon-α therapy for chronic myelogenous leukemia: Low levels of minimal residual disease are associated with continuing remission"
"0033585485","9923844","","2-s2.0-0033585485","1999-01-20","A Bcr/Abl kinase antagonist for chronic myelogenous leukemia: A promising path for progress emerges"
"0030766684","9376661","","2-s2.0-0030766684","1997-10-02","Signal transduction pathways involved in BCR-ABL transformation"
"0033954540","10674898","","2-s2.0-0033954540","2000-02-02","Outcome of philadelphia chromosome-positive adult acute lymphoblastic leukemia"
"0033637411","11147225","","2-s2.0-0033637411","2000-12-30","Treatment of adult all according to protocols of the German Multicenter Study Group for Adult All (GMALL)"
"0033786192","11049022","","2-s2.0-0033786192","2000-01-01","New approaches to acute lymphoblastic leukemia in adults: Where do we go?"
"0028114790","7934164","","2-s2.0-0028114790","1994-10-01","Detection of BCR-ABL fusion genes in adult acute lymphoblastic leukemia by the polymerase chain reaction"
"0030749222","9269758","","2-s2.0-0030749222","1997-08-15","Marrow transplants from unrelated donors for treatment of Philadelphia chromosome-positive acute lymphoblastic leukemia"
"0035080416","11237055","10.1038/sj.leu.2402041","2-s2.0-0035080416","2001-04-10","Synergistic activity of the new ABL-specific tyrosine kinase inhibitor STI571 and chemotherapeutic drugs on BCR-ABL-positive chronic myelogenous leukemia cells"
"2742529418","2448137","","2-s2.0-2742529418","1987-11-01","Human proto-oncogene c-kit: a new cell surface receptor tyrosine kinase for an unidentified ligand."
"0022626874","3007997","10.1038/320415a0","2-s2.0-0022626874","1986-12-01","A new acute transforming feline retrovirus and relationship of its oncogene v-kit with the protein kinase gene family"
"0027955112","7507245","","2-s2.0-0027955112","1994-01-18","STK-1, the human homolog of Flk-2/Flt-3, is selectively expressed in CD34+ human bone marrow cells and is involved in the proliferation of early progenitor/stem cells"
"0029126850","7563129","10.1007/BF00160313","2-s2.0-0029126850","1995-01-01","Molecular evolution of the genes encoding receptor tyrosine kinase with immunoglobulinlike domains"
"0030986854","9182608","10.1007/s004410050859","2-s2.0-0030986854","1997-07-16","Ultrastructural identification of the c-kit-expressing interstitial cells in the rat stomach: A comparison of control and Ws/Ws mutant rats"
"0024687135","2473008","","2-s2.0-0024687135","1989-06-01","Expression of c-kit gene products in known cellular targets of W mutations in normal and W mutant mice--evidence for an impaired c-kit kinase in mutant mice."
"0026475653","1384954","","2-s2.0-0026475653","1992-01-01","Expression of c-kit Receptor in Normal and Transformed Human Nonlymphoid Tissues"
"0026642099","1378316","","2-s2.0-0026642099","1992-07-15","Nonhematopoietic tumor cell lines express stem cell factor and display c-kit receptors"
"0025077796","1698557","10.1016/0092-8674(90)90303-V","2-s2.0-0025077796","1990-10-05","The hematopoietic growth factor KL is encoded by the SI locus and is the ligand of the c-kit receptor, the gene product of the W locus"
"0026039464","1721869","","2-s2.0-0026039464","1991-01-01","Activation of the human c-kit product by ligand-induced dimerization mediates circular actin reorganization and chemotaxis"
"0026066984","1705885","","2-s2.0-0026066984","1991-03-18","A specific combination of substrates is involved in signal transduction by the kit-encoded receptor"
"13044305857","9990072","10.1073/pnas.96.4.1609","2-s2.0-13044305857","1999-02-16","Activating and dominant inactivating c-KIT catalytic domain mutations in distinct clinical forms of human mastocytosis"
"0033982484","10632491","10.1097/00000478-200001000-00010","2-s2.0-0033982484","2000-01-01","Utility of paraffin section immunohistochemistry for C-KIT (CD117) in the differential diagnosis of systemic mast cell disease involving the bone marrow"
"0031923720","9596274","10.1016/S0046-8177(98)90066-1","2-s2.0-0031923720","1998-05-21","Paraffin section detection of the c-kit gene product (cd117) in human tissues: Value in the diagnosis of mast cell disorders"
"0034194325","10811105","","2-s2.0-0034194325","2000-05-01","Specific c-kit mutations in sinonasal natural killer/T-cell lymphoma in China and Japan"
"0032983371","10362788","","2-s2.0-0032983371","1999-06-01","Activating c-kit gene mutations in human germ cell tumors"
"0029865054","8609154","10.1007/BF01261407","2-s2.0-0029865054","1996-05-06","Expression of stem-cell factor and its receptor c-kit protein in normal testicular tissue and malignant germ-cell tumours"
"0028828142","8551387","10.1002/path.1711770307","2-s2.0-0028828142","1995-11-17","Differential expression of the c-kit proto-oncogene in germ cell tumours"
"0028207444","7517917","10.1111/j.1365-2605.1994.tb01225.x","2-s2.0-0028207444","1994-01-01","Expression of the c‐kit protein product in carcinoma‐in‐situ and invasive testicular germ cell tumours"
"0032914890","10223302","","2-s2.0-0032914890","1999-04-22","Spermatocytic seminoma as compared to classical seminoma: An immunohistochemical and DNA flow cytometric study"
"0030039985","8640066","10.1097/00008390-199602000-00004","2-s2.0-0030039985","1996-02-26","c-KIT receptor expression in cutaneous malignant melanoma and benign melanocytic naevi"
"0030765407","9310959","","2-s2.0-0030765407","1997-09-01","Proto-oncogene c-kit expression in malignant melanoma: Protein loss with tumor progression"
"0034213697","10799746","10.1016/S0304-3835(00)00387-6","2-s2.0-0034213697","2000-06-01","Expression of the c-kit protein is associated with certain subtypes of salivary gland carcinoma"
"0032873349","10530560","","2-s2.0-0032873349","1999-10-01","Kit protein expression and analysis of c-kit gene mutation in adenoid cystic carcinoma"
"0033945084","10861500","10.1002/1097-0215(20000520)89:3&lt;242::AID-IJC6&gt;3.0.CO;2-6","2-s2.0-0033945084","2000-07-15","Lack of expression of c-KIT in ovarian cancers is associated with poor prognosis"
"0026690717","1377054","","2-s2.0-0026690717","1992-07-01","Blasts from patients with acute myelogenous leukemia express functional receptors for stem cell factor"
"0029886011","8637238","","2-s2.0-0029886011","1996-02-01","Increased expression of c-Kit or its ligand Steel Factor is not a common feature of adult acute myeloid leukaemia"
"0031840621","9654158","","2-s2.0-0031840621","1998-06-23","Serum soluble c-kit receptor and expression of c-kit protein and mRNA in acute myeloid leukemia"
"0028153898","7507733","","2-s2.0-0028153898","1994-02-01","Expression of the c-kit receptor in human lymphomas is restricted to Hodgkin's disease and CD30+ anaplastic large cell lymphomas"
"0034083341","10824925","","2-s2.0-0034083341","2000-05-01","KIT expression in angiosarcomas and fetal endothelial cells: Lack of mutations of Exon 11 and Exon 17 of C-kit"
"0035138874","11151069","","2-s2.0-0035138874","2001-02-05","Expression of c-kit (CD117) in benign and malignant human endometrial epithelium"
"0031854560","9697876","","2-s2.0-0031854560","1998-09-07","Expression and regulation of c-kit receptor and response to stem cell factor in childhood malignant T-lymphoblastic cells"
"0029015913","7545433","","2-s2.0-0029015913","1995-01-01","Coexpression of the c-kit and stem cell factor genes in breast carcinomas"
"0030013525","8630284","","2-s2.0-0030013525","1996-06-10","Immunohistochemical expression of the c-kit proto-oncogene product in human malignant and non-malignant breast tissues"
"0034001504","10809354","","2-s2.0-0034001504","2000-04-01","Expression of c-kit and kit-ligand in benign and malignant prostatic tissues"
"0031133118","9171936","","2-s2.0-0031133118","1997-12-01","Evidence for a functional kit receptor in melanoma, breast, and lung carcinoma cells"
"0035881982","11507083","","2-s2.0-0035881982","2001-08-15","Implication of tyrosine kinase receptor and steel factor in cell density-dependent growth in cervical cancers and leukemias"
"0028860224","7530826","","2-s2.0-0028860224","1995-01-01","An in vivo model for receptor tyrosine kinase autocrine/paracrine activation: Auto-stimulated KIT receptor acts as a tumor promoting factor in papillomavirus-induced tumorigenesis"
"0025765399","1707753","","2-s2.0-0025765399","1991-01-01","Preferential Expression of c-kit Protooncogene Transcripts in Small Cell Lung Cancer"
"0027418615","7680956","","2-s2.0-0027418615","1993-01-01","Recombinant Human Stem Cell Factor Mediates Chemotaxis of Small-Cell Lung Cancer Cell Lines Aberrantly Expressing the c-kit Protooncogene"
"0028019224","7524740","","2-s2.0-0028019224","1994-11-15","Expression of stem cell factor and c-kit in human neuroblastoma"
"0030683515","9357969","","2-s2.0-0030683515","1997-12-09","Stem cell factor suppresses apoptosis in neuroblastoma cell lines"
"0032104728","9714703","10.1006/bcmd.1998.0191","2-s2.0-0032104728","1998-06-01","In vivo differentiation of mast cells from acute myeloid leukemia blasts carrying a novel activating ligand-independent C-kit mutation"
"0034703285","11001933","","2-s2.0-0034703285","2000-09-22","RNA hyperediting and alternative splicing of hematopoietic cell phosphatase (PTPN6) gene in acute myeloid leukemia"
"0033809993","11021818","","2-s2.0-0033809993","2000-10-19","Lack of phosphotyrosine phosphatase SHP-1 expression in malignant T-cell lymphoma cells results from methylation of the SHP-1 promoter"
"0034598363","10620616","10.1084/jem.191.1.181","2-s2.0-0034598363","2000-01-03","Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor suppressor gene modulates melanocyte and mast cell fates in vivo"
"0033557589","9949175","","2-s2.0-0033557589","1999-02-15","Activating mutation in the catalytic domain of C-kit elicits hematopoietic transformation by receptor self-association not at the ligand- induced dimerization site"
"0025861793","1893977","","2-s2.0-0025861793","1991-09-30","Effects of rrSCF on multiple cytokine responsive HPP-CFC generated from SCA+Lin- murine hematopoietic progenitors"
"0025912874","1712491","","2-s2.0-0025912874","1991-07-15","Induction of mast cell proliferation, maturation, and heparin synthesis by the rat c-kit ligand, stem cell factor"
"0033532190","10224103","10.1074/jbc.274.19.13399","2-s2.0-0033532190","1999-05-07","Inhibition of spontaneous receptor phosphorylation by residues in a putative α-helix in the KIT intracellular juxtamembrane region"
"0032401747","9843497","","2-s2.0-0032401747","1998-12-01","A single amino acid substitution in a WW-like domain of diverse members of the PDGF receptor subfamily of tyrosine kinases causes constitutive receptor activation"
"0028959163","7530509","","2-s2.0-0028959163","1995-01-01","Constitutively activating mutations of c-kit receptor tyrosine kinase confer factor-independent growth and tumorigenicity of factor-dependent hematopoietic cell lines"
"0033678402","11073817","","2-s2.0-0033678402","2000-12-04","Germline-activating mutation in the kinase domain of KIT gene in familial gastrointestinal stromal tumors"
"0033557902","9931308","10.1042/0264-6021:3380131","2-s2.0-0033557902","1999-02-15","A transforming mutation enhances the activity of the c-Kit soluble tyrosine kinase domain"
"0029907089","8962111","","2-s2.0-0029907089","1996-12-10","Oncogenic mutation in the Kit receptor tyrosine kinase alters substrate specificity and induces degradation of the protein tyrosine phosphatase SHP-1"
"0030023799","8631931","10.1074/jbc.271.7.3347","2-s2.0-0030023799","1996-02-16","Role of aspartic acid 814 in the function and expression of c-kit receptor tyrosine kinase"
"0034650957","10660321","","2-s2.0-0034650957","2000-01-15","C-kit mutations in core binding factor leukemias [3]"
"0026628784","1376329","","2-s2.0-0026628784","1992-01-01","Human piebald trait resulting from a dominant negative mutant allele of the c-kit membrane receptor gene"
"0025940323","1717985","10.1073/pnas.88.19.8696","2-s2.0-0025940323","1991-10-24","Mutation of the KIT (mast/stem cell growth factor receptor) protooncogene in human piebaldism"
"0034131436","10652004","10.1046/j.1523-1747.2000.00888.x","2-s2.0-0034131436","2000-07-11","Indolinone derivatives inhibit constitutively activated KIT mutants and kill neoplastic mast cells"
"0035282940","11222388","10.1182/blood.V97.5.1413","2-s2.0-0035282940","2001-03-01","The antiangiogenic protein kinase inhibitors SU5416 and SU6668 inhibit the SCF receptor (c-kit) in a human myeloid leukemia cell line and in acute myeloid leukemia blasts"
"0035328851","11325836","","2-s2.0-0035328851","2001-05-01","Indolinone tyrosine kinase inhibitors block kit activation and growth of small cell lung cancer cells"
"12244277954","10888034","","2-s2.0-12244277954","2000-02-01","Development of SU5416, a selective small molecule inhibitor of VEGF receptor tyrosine kinase activity, as an anti-angiogenesis agent"
"0034655182","10786682","","2-s2.0-0034655182","2000-04-15","PTK787/ZK 222584, a novel and potent inhibitor of vascular endothelial growth factor receptor tyrosine kinases, impairs vascular endothelial growth factor-induced responses and tumor growth after oral administration"
"0035167748","11148678","10.1097/00001622-200101000-00002","2-s2.0-0035167748","2001-01-30","Chronic myelogenous leukemia"
"0033883776","10945623","","2-s2.0-0033883776","2000-08-31","SU6668 is a potent antiangiogenic and antitumor agent that induces regression of established tumors"
"0032989226","10554798","10.1046/j.1365-2141.1999.01449.x","2-s2.0-0032989226","1999-07-14","c-kit Proto-oncogene exon 8 in-frame deletion plus insertion mutations in acute myeloid leukaemia"
"0034101453","10812167","10.1016/S0165-4608(99)00221-6","2-s2.0-0034101453","2000-05-01","Trisomy 4 leading to duplication of a mutated KIT allele in acute myeloid leukemia with mast cell involvement"
"0031848146","9697690","10.1038/1209","2-s2.0-0031848146","1998-08-13","Familial gastrointestinal stromal tumours with germline mutation of the KIT gene [3]"
"0032456567","9856847","10.1046/j.1523-1747.1998.00414.x","2-s2.0-0032456567","1998-12-01","Identification of activating c-kit mutations in adult-, but not in childhood-onset indolent mastocytosis: A possible explanation for divergent clinical behavior"
"0031039992","9029028","","2-s2.0-0031039992","1997-02-25","A new c-kit mutation in a case of aggressive mast cell disease"
"33748522353","","","2-s2.0-33748522353","2000-12-01","STI 571 inhibits the kinase activity of wild type and juxtamembrane C-kit mutants but not the exon 17 D816V mutation associated with mastocytosis"
"0032602423","10197236","10.1097/00125480-199901000-00003","2-s2.0-0032602423","1999-01-01","Mesenchymal tumors of the gastrointestinal tract: A paradise for acronyms (STUMP, GIST, GANT, and now GIPACT), implication of c-kit in genesis, and yet another of the many emerging roles of the interstitial cell of Cajal in the pathogenesis of gastrointestinal diseases?"
"0027563573","8483884","","2-s2.0-0027563573","1993-03-01","Immunohistologic characterization of gastrointestinal stromal tumors: a study of 82 cases compared with 11 cases of leiomyomas."
"0032981004","10231416","10.1046/j.1365-2559.1999.00643.x","2-s2.0-0032981004","1999-06-05","Expression of c-kit (CD117) and Ki67 provides information about the possible cell of origin and clinical course of gastrointestinal stromal tumours"
"0035174752","11208730","10.1053/gast.2001.20880","2-s2.0-0035174752","2001-01-01","Familial gastrointestinal stromal tumor with hyperpigmentation: Association with a germline mutation of the c-kit gene"
"0033693772","11094326","10.1016/S0960-7404(00)00026-8","2-s2.0-0033693772","2000-12-07","Recurrent gastrointestinal stromal sarcomas"
"0033935830","10909047","","2-s2.0-0033935830","2000-07-17","A proposed classification of mastocytosis incorporating molecular genetics"
"0025718579","1720040","","2-s2.0-0025718579","1991-01-01","Expression and functional role of the proto-oncogene c-kit in acute myeloblastic leukemia cells"
"0035412371","11418488","10.1182/blood.V98.1.241","2-s2.0-0035412371","2001-07-01","Stable remission after administration of the receptor tyrosine kinase inhibitor SU5416 in a patient with refractory acute myeloid leukemia"
"0025611985","1712701","","2-s2.0-0025611985","1990-12-01","Gonadal expression of c-kit encoded at the W locus of the mouse"
"0026355504","1686280","","2-s2.0-0026355504","1991-12-01","Effect of the W mutation, for white belly spot, on testicular germ cell differentiation in mice"
"0033754885","11061423","","2-s2.0-0033754885","2000-11-18","The role of stem cell factor and of alternative c-kit gene products in the establishment, maintenance and function of germ cells"
"0344131384","10210438","10.1016/S0022-5347(05)69003-9","2-s2.0-0344131384","1999-05-01","Migration and ultrastructural localization of the c-kit receptor protein in spermatogenic cells and spermatozoa of the mouse"
"0028784942","8579844","10.1002/mrd.1080420307","2-s2.0-0028784942","1995-01-01","Kit ligand mediates survival of type a spermatogonia and dividing spermatocytes in postnatal mouse testes"
"0033981729","10655061","10.1038/72814","2-s2.0-0033981729","2000-02-01","Kit/stem cell factor receptor-induced activation of phosphatidylinositol 3'-kinase is essential for male fertility"
"0034036635","10819761","","2-s2.0-0034036635","2000-06-17","Expression and action of kit ligand/stem cell factor in normal human and bovine ovarian surface epithelium and ovarian cancer"
"0032055562","9516139","","2-s2.0-0032055562","1998-04-01","c-kit is expressed in soft tissue sarcoma of neuroectodermic origin and its ligand prevents apoptosis of neoplastic cells"
"0032950641","9915496","10.1038/4447","2-s2.0-0032950641","1999-01-01","High density synthetic oligonucleotide arrays"
