Rank,NCT Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
44,NCT00046683,"Efficacy/Safety of Frontline Alemtuzumab (Campath, MabCampath) vs Chlorambucil in Patients With Progressive B-Cell Lymphocytic Leukemia",Completed,No Results Available,B Cell Chronic Lymphocytic Leukemia,Drug: alemtuzumab,"Genzyme, a Sanofi Company|Sanofi",All,"18 Years and older Â  (Adult, Senior)",Phase 3,284,Industry,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CAM307,1-Oct-02,7/1/01,6/1/06,27-Jul-16,Jul-16,No Study Results Posted,null,null,Campath vs. chlorambucil|survival comparison,https://ClinicalTrials.gov/show/NCT00046683
30,NCT00365846,"""A Pilot Study to Determine the Safety of Campath-1H (Anti-CD52) Therapy in Primary Renal Allograft Transplantation""",Completed,Has Results,Renal Transplant,Drug: Campath-1H,"University of Wisconsin, Madison",All,18 Years to 60 Years Â  (Adult),Phase 2,29,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention,2000-032,16-Aug-06,8/1/00,7/1/06,21-Sep-12,Sep-12,22-Jun-12,null,Jul-05,Incidence of Allograft Rejection|Incidence of Severe Allograft Rejection ( Defined as >Banff 2A or Requiring Antibody Treatment)|Patient Survival|Incidence of Post-transplant Infection|Incidence of Malignancies|Kidney Allograft Survival,https://ClinicalTrials.gov/show/NCT00365846
133,NCT00162851,Study to Evaluate the Safety of Subcutaneous Alemtuzumab in Patients With B-Cell Chronic Lymphocytic Leukemia,Completed,No Results Available,B-CLL,Drug: alemtuzumab,Karolinska University Hospital|Schering Nordiska AB,All,"18 Years to 80 Years Â  (Adult, Senior)",Phase 2,20,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CAM219,8-Sep-05,4/1/03,7/1/06,23-Jul-07,Aug-05,No Study Results Posted,null,null,,https://ClinicalTrials.gov/show/NCT00162851
192,NCT00562770,Oral Valganciclovir Versus Valacyclovir,Completed,No Results Available,Chronic Lymphocytic Leukemia|Leukemia,Drug: Valganciclovir|Drug: Valacyclovir,M.D. Anderson Cancer Center|Roche Pharma AG,All,"16 Years and older Â  (Child, Adult, Senior)",Phase 2,46,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,ID02-666,20-Nov-07,9/1/03,7/1/06,27-Jul-12,Jul-12,No Study Results Posted,null,null,"CBC, platelet and differential. BUN, creatinine, total bilirubin, alkaline phosphatase, LDH, SGPT|CMV antigenemia",https://ClinicalTrials.gov/show/NCT00562770
1,NCT00102661,Continuous Infusion of Campath-1H Followed by Subcutaneous Injections in Previously Treated Patients With Chronic Lymphocytic Leukemia,Completed,No Results Available,Chronic Lymphocytic Leukemia,Drug: Campath-1H,"M.D. Anderson Cancer Center|Berlex Laboratories, Inc.",All,"18 Years and older Â  (Adult, Senior)",Phase 2,10,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,ID02-424,31-Jan-05,10/1/02,9/1/06,27-Jul-12,Jul-12,No Study Results Posted,null,Sep-06,Response Rate (CR+PR) to CAMPATH-1H,https://ClinicalTrials.gov/show/NCT00102661
16,NCT00129753,Alemtuzumab (Campath-1H) Monoclonal Antibody in Patients With Relapsed and Resistant Classical Hodgkin's Disease,Withdrawn,No Results Available,Hodgkin's Disease|Lymphoma,Drug: Alemtuzumab (Campath-1H),M.D. Anderson Cancer Center,All,"18 Years and older Â  (Adult, Senior)",Phase 2,0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,2004-0742,11-Aug-05,6/1/05,9/1/06,6-Apr-16,Oct-10,No Study Results Posted,null,Sep-06,Response Rate,https://ClinicalTrials.gov/show/NCT00129753
251,NCT00344825,Vitalis Study - Observational Study on the Quality of Life in Patients Under Treatment for B-Chronic Lymphocytic Leukemia (B-CLL),Completed,No Results Available,"Leukemia, B-Cell, Chronic","Drug: Alemtuzumab (MabCampath, BAY86-5045) and Fludarabine Phosphate (Fludara, BAY86-4864)","Genzyme, a Sanofi Company|Sanofi",All,"18 Years and older Â  (Adult, Senior)",,300,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,306003,26-Jun-06,1/1/04,11/1/06,2-Dec-13,Dec-13,No Study Results Posted,null,Nov-06,,https://ClinicalTrials.gov/show/NCT00344825
60,NCT00177138,Use of Campath for Induction and Maintenance Therapy in Pancreas After Kidney Transplantation,Terminated,No Results Available,Diabetes Mellitus,Drug: Tacrolimus|Drug: Alemtuzumab,"University of Minnesota - Clinical and Translational Science Institute|Bayer|Gruessner, Rainer, MD",All,18 Years to 60 Years Â  (Adult),Phase 4,9,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,0308M51264|Berlex Study No. 107.G0001,13-Sep-05,7/1/04,11/1/06,5-Feb-13,Feb-13,No Study Results Posted,null,null,"Time-to-event analysis will be used to analyze categorical end points that include graft failure, patient survival, biopsy documented rejection episode and non-compliance.|The continuous outcome variable, weekly or bi-weekly serum creatinine levels, will be analyzed using a two-way repeated-measures analysis of variance.",https://ClinicalTrials.gov/show/NCT00177138
185,NCT00056966,Conditioning Regimen for Allogeneic Hematopoietic Stem Cell Transplantation of Patients With Hematological Diseases,Completed,No Results Available,Hematologic Malignancy,Drug: ANTI-CD45|Drug: CAMPATH-1H|Drug: FK506|Drug: Fludarabine|Radiation: Total Body Irradiation|Procedure: Stem cell infusion,"Baylor College of Medicine|Texas Children's Hospital|The Methodist Hospital System|Center for Cell and Gene Therapy, Baylor College of Medicine",All,"Child, Adult, Senior",Phase 1|Phase 2,24,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,12472|ACHE,26-Mar-03,11/1/02,12/1/06,27-Jun-12,Jun-12,No Study Results Posted,null,May-05,"Assess safety and feasibility of monoclonal abs directed to CD45 and CD52 antigens, Fludarabine and low dose TBI, as a non-myeloablative preparatory regimen for allo HSCT. This will be determined by 100d Non-relapse mortality and 100d Graft rejection|To obtain a preliminary estimate of the efficacy of this therapy as defined by: Complete remission at day 100 and One-year disease free survival.",https://ClinicalTrials.gov/show/NCT00056966
32,NCT00166556,A Trial to Assess Campath-1H and Tacrolimus Followed by Immunosuppression Withdrawal in Liver Transplantation,Completed,No Results Available,"Transplantation, Liver",Drug: Campath-1H and Tacrolimus,Mayo Clinic|University of Chicago|Immune Tolerance Network (ITN),All,"18 Years to 70 Years Â  (Adult, Senior)",Phase 2,10,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,2355-04,12-Sep-05,1/1/05,12/1/06,20-May-11,May-11,No Study Results Posted,null,Dec-06,To evaluate the safety and efficacy of an immunosuppression regimen comprising Campath-1H induction followed by maintenance therapy with tacrolimus in allowing liver allograft survival|Assess the safety of withdrawing tacrolimus after Campath-1H induced immuno-depletion and subsequent immune reconstitution|Gather additional safety information about the combination of Campath-1H and tacrolimus in liver allograft recipients|Define profiles of immunologic and genetic features present prior to or during tapering of immunosuppression that distinguish tolerant and non tolerant allograft recipients,https://ClinicalTrials.gov/show/NCT00166556
207,NCT00533923,Nonmyeloablative Allogeneic Stem Cell Transplantation From HLA-Matched Unrelated Donor for the Treatment of Hematologic Disorders,Completed,No Results Available,AML|ALL|CLL|Myelodysplastic Syndrome|Non-Hodgkin's Lymphoma|Hodgkin's Lymphoma|Multiple Myeloma|Aplastic Anemia|Myeloproliferative Disorder,Drug: Cyclophosphamide; Fludarabine; Cyclosporin; CAMPATH-1H (Alemtuzumab); GM-CSF,Beth Israel Deaconess Medical Center|Bayer,All,"up to 65 Years Â  (Child, Adult)",Phase 2,25,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,2002P000219,20-Sep-07,12/1/02,1/1/07,14-Jul-16,Jul-16,No Study Results Posted,null,Jan-07,"Primary objective of study is to determine the safety of non-myeloablative allogenic stem cell transplantation from matched unrelated donors in patients with hematologic malignancies with a focus on the incidence of treatment-related mortality.|Secondary clinical endpoints includes; incidence of graft failure or rejection; incidence and severity of acute and chronic GVHD; tumor response, and long-term overall and disease-free survival.",https://ClinicalTrials.gov/show/NCT00533923
212,NCT00085449,"Alemtuzumab Plus Fludarabine and Melphalan With or Without Cyclosporine, Mycophenolate Mofetil, and Low-Dose Total-Body Irradiation Therapy Followed by Donor Peripheral Stem Cell Transplant in Treating Patients With Hematologic Cancer",Completed,No Results Available,Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,Biological: alemtuzumab|Drug: cyclosporine|Drug: fludarabine phosphate|Drug: melphalan|Drug: mycophenolate mofetil|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy,Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI),All,18 Years to 60 Years Â  (Adult),Phase 1|Phase 2,56,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CALGB-100102|CDR0000370797,10-Jun-04,5/1/06,1/1/07,1-Jul-16,Jul-16,No Study Results Posted,null,Jan-07,Engraftment rate|Risk of graft-vs-host disease|Progression-free survival (PFS),https://ClinicalTrials.gov/show/NCT00085449
117,NCT00079768,Alemtuzumab to Treat Sporadic Inclusion Body Myositis,Completed,No Results Available,"Myositis, Inclusion Body",Drug: Alemtuzumab (Campath),National Institute of Neurological Disorders and Stroke (NINDS)|National Institutes of Health Clinical Center (CC),All,"25 Years to 80 Years Â  (Adult, Senior)",Phase 2,20,NIH,Interventional,Primary Purpose: Treatment,040133|04-N-0133,12-Mar-04,3/1/04,3/1/07,16-Jun-10,Jan-09,No Study Results Posted,null,Mar-07,Change in the muscle strength at 6 months by 15%.,https://ClinicalTrials.gov/show/NCT00079768
138,NCT00069992,"Total-Body Irradiation, Fludarabine, and Alemtuzumab Followed By Stem Cell Transplant in Treating Patients With Myeloproliferative Disorder, MS, AML, or CML",Terminated,No Results Available,Chronic Myeloproliferative Disorders|Leukemia|Myelodysplastic Syndromes,Radiation: Total Body Irradiation|Drug: Fludarabine|Drug: Campath 1H,"Baylor College of Medicine|The Methodist Hospital System|Texas Children's Hospital|Center for Cell and Gene Therapy, Baylor College of Medicine",All,"Child, Adult, Senior",Phase 2,7,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,H-10857-MPDMDSBMT,3-Oct-03,12/1/01,4/1/07,5-Oct-12,Oct-12,No Study Results Posted,MPDMDSBMT,Sep-06,"Day 100 Non-relapse mortality,|Day 100 graft rejection|1 year disease free survival|Complete Remission at 100 days",https://ClinicalTrials.gov/show/NCT00069992
43,NCT00579592,"Campath, Rituximab, and Myfortic With Short-Course Calcineurin Inhibitor Therapy in Renal Transplanation",Terminated,No Results Available,Acute Rejection|Renal Transplantation,"Drug: Campath-1H, rituximab, myfortic","University of Wisconsin, Madison",All,"18 Years and older Â  (Adult, Senior)",,11,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,H-2005-0454,17-Dec-07,4/1/06,4/1/07,22-Jun-12,Jun-12,No Study Results Posted,null,Mar-07,renal function|hypertension|drug side effects,https://ClinicalTrials.gov/show/NCT00579592
120,NCT00109993,Campath-1H + FK506 and Methylprednisolone for GVHD,Completed,No Results Available,Breast Cancer|Chronic Myeloproliferative Disorders|Gestational Trophoblastic Tumor|Graft Versus Host Disease|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Diseases|Neuroblastoma|Ovarian Cancer|Testicular Germ Cell Tumor,Biological: alemtuzumab|Drug: methylprednisolone|Drug: tacrolimus,Case Comprehensive Cancer Center|National Cancer Institute (NCI),All,"18 Years and older Â  (Adult, Senior)",Phase 2,34,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Supportive Care,CASE1Z04|P30CA043703|CASE-CWRU-1Z04|CWRU-060419|CASE-1Z04,3-May-05,1/1/05,5/1/07,10-Jun-10,Jun-10,No Study Results Posted,null,Jun-06,"Graft-vs-host disease response|Incidence of serious infections by clinical, radiologic, and microbiologic assessments",https://ClinicalTrials.gov/show/NCT00109993
12,NCT00071396,Campath-1H Plus Rituximab for CD52- and CD20- Positive Refractory or Relapsed Chronic Lymphoid Disorders,Completed,Has Results,Chronic Lymphocytic Leukemia,Drug: Campath-1H|Drug: Rituximab,M.D. Anderson Cancer Center|Bayer,All,"15 Years and older Â  (Child, Adult, Senior)",Phase 2,48,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,ID02-368,21-Oct-03,10/1/02,8/1/07,1-Aug-12,Aug-12,25-Sep-09,null,Sep-06,Overall Response,https://ClinicalTrials.gov/show/NCT00071396
269,NCT00152100,Transplantation of Hematopoietic Cells in Children With Severe Combined Immunodeficiency Syndrome,Completed,No Results Available,Severe Combined Immunodeficiency,"Procedure: Stem cell transplant|Drug: Filgrastim, Alemtuzumab|Device: Miltenyi CliniMACS",St. Jude Children's Research Hospital,All,up to 2 Years Â  (Child),Phase 1,4,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,ALSCID,7-Sep-05,2/1/04,8/1/07,19-May-09,May-09,No Study Results Posted,null,Aug-07,To investigate safety issues related to use of haploidentical highly purified CD133+ hematopoietic cells in patients with SCID|To study the effects (good and bad) of this procedure|To learn if this procedure will result in normal immune function in children with SCID,https://ClinicalTrials.gov/show/NCT00152100
26,NCT00214266,A Pilot Study of Campath-1H Induction Therapy Combined With CellCeptÂ® Therapy to Allow for a Calcineurin Inhibitor Free Regimen After Renal Transplantation,Completed,No Results Available,Renal Transplantation,"Drug: Campath 1HÂ®, Rituximab, mycophenolate mofetil","University of Wisconsin, Madison",All,"18 Years and older Â  (Adult, Senior)",Phase 2,31,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,2004-0209,13-Sep-05,1/1/05,9/1/07,22-Jun-12,Jun-12,No Study Results Posted,null,Aug-07,renal allograft function|incidence of hypertension|incidence of diabetes|drug related side effects,https://ClinicalTrials.gov/show/NCT00214266
68,NCT00681343,"Thymoglobulin Versus Campath-1H Versus Daclizumab in Adult, Primary Living Donor Renal Transplantation",Completed,No Results Available,Living-Donor Kidney Transplant,Drug: Thymoglobulin|Drug: Campath-1H|Drug: Daclizumab,University of Miami|Hoffmann-La Roche,All,"16 Years and older Â  (Child, Adult, Senior)",Phase 4,38,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,IRB#20010704,19-May-08,9/1/02,10/1/07,23-May-08,May-08,No Study Results Posted,null,Oct-06,"Incidence and severity of biopsy-proven acute rejection at 1 year.|Patient and graft survival|Incidence of biopsy-proven chronic allograft nephropathy.|Levels of lymphoid cell subsets.|Incidence of adverse reactions, for example: Infections, Malignancies, Thromboembolic events.",https://ClinicalTrials.gov/show/NCT00681343
159,NCT00199030,Treatment of Relapsed T-Cell Acute Lymphoblastic Leukemia or T-Lymphoblastic Lymphoma With MabCampath,Completed,No Results Available,"Adult Acute Lymphocytic Leukemia T-Cell|Lymphoma, Lymphoblastic",Drug: Alemtuzumab (MabCampath)|Drug: Cladribine,Johann Wolfgang Goethe University Hospital,All,"18 Years and older Â  (Adult, Senior)",Phase 2,25,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,GMALL07,12-Sep-05,2/1/04,12/1/07,29-May-08,May-08,No Study Results Posted,null,null,"Arm A: rate of molecular remissions (MRD < 10(-4), toxicity according to CTC, remission duration/survival, feasibility of s.c. dose escalation and long term therapy, mortality|Arm B: response (CR/PR/MR), toxicity according to CTC, SCT rate, remission duration/survival, feasibility of i.v. dose escalation/long term therapy, mortality",https://ClinicalTrials.gov/show/NCT00199030
249,NCT00692562,Simultaneous Islet-Kidney Transplantation in Patients of Type 1 Diabetes With End-stage Renal Disease,Completed,No Results Available,Type 1 Diabetes Mellitus|End-stage Renal Disease,Procedure: simultaneous islet-kidney transplantation,Fuzhou General Hospital,All,18 Years to 60 Years Â  (Adult),Phase 1|Phase 2,7,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,SIK2005,3-Jun-08,6/1/05,12/1/07,15-Sep-11,Jun-08,No Study Results Posted,null,Dec-06,Exogenous insulin requirement|kidney function|Hemoglobin A1c|Glucose and C-peptide levels|Portal vein Ultrasound|liver function|Complete Blood Count|autoantibodies,https://ClinicalTrials.gov/show/NCT00692562
147,NCT00458250,Feasibility of Haploidentical Hematopoietic Stem Cell Transplantation Using CAMPATH-1H,Completed,No Results Available,"Leukemia, Myeloid, Acute|Leukemia, Lymphoblastic, Acute",Procedure: Haploidentical hematopoietic stem cell transplantation|Drug: Busulfan|Drug: Cyclophosphamide|Drug: CAMPATH-1H|Drug: Cyclosporin A|Drug: Methotrexate,Tehran University of Medical Sciences,All,"2 Years to 50 Years Â  (Child, Adult)",Phase 1,10,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: Open Label|Primary Purpose: Treatment,418-A-1954,7-Apr-07,9/1/06,2/1/08,15-Nov-08,Nov-08,No Study Results Posted,null,null,Engraftment one month after transplantation|six months survival,https://ClinicalTrials.gov/show/NCT00458250
150,NCT00458523,Alemtuzumab in Treating Patients With B-Cell Chronic Lymphocytic Leukemia in Partial Remission or Complete Remission,Completed,No Results Available,Leukemia,Biological: alemtuzumab|Genetic: fluorescence in situ hybridization|Genetic: mutation analysis|Other: flow cytometry,Leeds Cancer Centre at St. James's University Hospital|National Cancer Institute (NCI),All,"18 Years and older Â  (Adult, Senior)",Phase 2,54,Other,Interventional,Masking: Open Label|Primary Purpose: Treatment,LCC-CTRU-CLL207|CDR0000538115|SPRI-LCC-CTRU-CLL207|ISRCTN23153249|EU-20715|EUDRACT-2006-000053-22,9-Apr-07,12/1/06,2/1/08,9-Aug-13,Apr-07,No Study Results Posted,null,null,Rate of undetectable minimal residual disease (MRD) after completion of alemtuzumab therapy|Rate of unacceptable toxicities|Rate of overall response (complete or partial response)|Time to MRD relapse|Overall survival|Expression of CD52 on chronic lymphocytic leukemia cells|Rate of re-achievement of MRD negativity after completion of alemtuzumab therapy|Incidence of successful retreatment|Toxicity from repeated therapy|Length of interval between required treatments,https://ClinicalTrials.gov/show/NCT00458523
88,NCT00416884,"Flu,Alemtuzumab,and TBI Followed By Donor Stem Cell Chronic Phase CML",Terminated,Has Results,Leukemia,Drug: Campath|Drug: Fludarabine|Radiation: Total Body Irradiation (TBI)|Other: T-Cell Deplete,OHSU Knight Cancer Institute|National Cancer Institute (NCI),All,"4 Years to 75 Years Â  (Child, Adult, Senior)",Phase 2,1,Other|NIH,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CDR0000449649|OHSU-TPI-02032-L|OHSU-414,27-Dec-06,5/1/03,3/1/08,6-Jul-11,Jul-11,31-May-11,null,Mar-08,Number of Participants With Treatment-related Mortality,https://ClinicalTrials.gov/show/NCT00416884
216,NCT00582894,Reduced-Intensity Allogeneic Hematopoietic Stem Cell Transplantation for Malignant Hematological Diseases,Completed,Has Results,Hematological Neoplasms|Hematopoietic Stem Cell Transplantation,"Drug: Busulfex, Fludarabine, ALemtuzumab",University of Oklahoma,All,"18 Years to 75 Years Â  (Adult, Senior)",,17,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,Reduced-Intensity|IRB #11835,19-Dec-07,2/1/05,3/1/08,23-Mar-11,Mar-11,10-Jan-11,null,Mar-08,Number of Participants Experiencing Transplant Related Mortality (TRM)|Number of Participants Experiencing Engraftment Donor Chimerism (EDC)|Number of Participants Relapse-Free|Number of Participants Overall Survival as a Function of Time.,https://ClinicalTrials.gov/show/NCT00582894
