id	pmid	given_author	first_author	title	source	year
	2993863	Bonner	Bonner TI	Structure and biological activity of human homologs of the raf/mil oncogene.	Mol Cell Biol	1985
		Borsche		Über vielkernige kondensierte Systeme mit heterocyclischen Ringen. XIII.,		
	8343210	Buzzetti	Buzzetti F	Cinnamamide analogs as inhibitors of protein tyrosine kinases.	Farmaco	1993
	12689669	Cance		Novel Protein Kinases Expressed in Human Breast Cancer,		
	12689669	Cance		Novel Protein Kinases Expressed in Human Breast Cancer,		
		Canoira		Synthesis of Oxindole Derivatives from N-Alkenyl-o-Chloroanilides with Zero-Valent Nickel Complex,		
	9025911	Carpenedo	Carpenedo R	Identification and measurement of oxindole (2-indolinone) in the mammalian brain and other rat organs.	Anal Biochem	1997
	9025911	Carpenedo	Carpenedo R	Identification and measurement of oxindole (2-indolinone) in the mammalian brain and other rat organs.	Anal Biochem	1997
	25275588	Chao,		Growth Factor Signaling: Where Is the Specificity?		
		Chatten		Substituted Oxindoles. Part VI. Polarographic Reduction of Substituted trans-3-Benzylideneindol-2(3H)-ones,		
		Chatterjee,		Acylation of Indoles by Duff Reaction and Vilsmeier-Haack Formylation and Conformation of N-Formylindoles,		
		Chatterjee,		Acylation of Indoles by Duff Reaction and Vilsmeier-Haack Formylation and Conformation of N-Formylindoles,		
	9434891	Chen	Chen YH	Effects of 3,3-dipyridylmethyl-1-phenyl-2-indolinone on gamma-aminobutyric acid elicited chloride current of snail central neuron.	Chin J Physiol	1997
	9434891	Chen	Chen YH	Effects of 3,3-dipyridylmethyl-1-phenyl-2-indolinone on gamma-aminobutyric acid elicited chloride current of snail central neuron.	Chin J Physiol	1997
	17656670	Claesson-Welsh,		Signal Transduction by the PDGF Receptors,		
	17656670	Claesson-Welsh,		Signal Transduction by the PDGF Receptors,		
		Coda		(Z)- and (E)-Arylidene-1,3-dihydroindol-2-ones: Configuration Conformation and Infrared Carbonyl Stretching Frequencies,		
		Coda		3-(4-methylbenzilidene)-1,3-dihydroindol-2-one,		
		Coppola		A Functional Insulin-Like Growth Factor I Receptor Is Required for the Mitogenic and Transforming Activities of the Epidermal Growth Factor Receptor,		
		Coppola		A Functional Insulin-Like Growth Factor I Receptor Is Required for the Mitogenic and Transforming Activities of the Epidermal Growth Factor Receptor,		
		Daisley		Thin-layer chromatographic separation of some substituted 3-benzylidine-indol-2(3H)-ones,		
		Daisley		Thin-layer chromatographic separation of some substituted 3-benzylidine-indol-2(3H)-ones,		
	7945409	Damiani	Damiani E	Inhibition of copper-mediated low density lipoprotein peroxidation by quinoline and indolinone nitroxide radicals.	Biochem Pharmacol	1994
	1356014	Dati		Inhibition of c-erbB-2 oncogene expression by estrogens in human breast cancer cells,		
	4583274	Davis	Davis AL	Synthesis and microbiological properties of 3-amino-1-hydroxy-2-indolinone and related compounds.	J Med Chem	1973
	4583274	Davis	Davis AL	Synthesis and microbiological properties of 3-amino-1-hydroxy-2-indolinone and related compounds.	J Med Chem	1973
		De		The fms-Like Tyrosine Kinase, a Receptor for Vascular Endothelial Growth Factor,		
		Decker		A quick and simple method for the quantitation of lactate dehydrogenase release in measurements of cellular cytotoxicity and tumor necrosis factor (TNF) activity,		
		Decodts		Suicide inhibitors of proteases. Lack of activity of halomethyl derivatives of some aromatic lactams,		
		Desimoni		Catalysis with Inorganic Cations. V1 Intramolecular Hetero Diels-Alder versus Ene Reactions: Effect of Magnesium perchlorate on Chemoselectivity,		
		Desimoni		Catalysis with Inorganic Cations. V1 Intramolecular Hetero Diels-Alder versus Ene Reactions: Effect of Magnesium perchlorate on Chemoselectivity,		
		Dickson		13. Tyrosine kinase receptor-nuclear protooncogene interactions in breast cancer,		
		Dickson		13. Tyrosine kinase receptor—nuclear protooncogene interactions in breast cancer,		
		Elliott		Reduction of Some Oxindolylidene Derivatives to 3-Substituted Oxindoles by Sodium Borohydride,		
		Elliott		1-methyl-2-(3-oxindolidenmethyl)-pyridinium,		
	1374684	Fantl	Fantl WJ	Distinct phosphotyrosines on a growth factor receptor bind to specific molecules that mediate different signaling pathways.	Cell	1992
	1374684	Fantl	Fantl WJ	Distinct phosphotyrosines on a growth factor receptor bind to specific molecules that mediate different signaling pathways.	Cell	1992
	22925671	Ferrara		Pituitary Follicular Cells Secrete a Novel Heparin-Binding Growth Factor Specific for Vascular Endothelial Cells,		
	22925671	Ferrara		Pituitary Follicular Cells Secrete a Novel Heparin-Binding Growth Factor Specific for Vascular Endothelial Cells,		
		Fingl		Chapter 1-General Principles,		
		Fingl		Chapter 1—General Principles,		
		Fischer,		The Pyrroles, Paper 4: Pyrrole Aldehyde (II) and Pyrrole Nitrile,		
	10665930	Floege		Factors involved in the regulation of mesangial cell proliferation in vitro and in vivo,		
	10665930	Floege		Factors involved in the regulation of mesangial cell proliferation in vitro and in vivo,		
	8441232	Floege	Floege J	Heparin suppresses mesangial cell proliferation and matrix expansion in experimental mesangioproliferative glomerulonephritis.	Kidney Int	1993
	8441232	Floege	Floege J	Heparin suppresses mesangial cell proliferation and matrix expansion in experimental mesangioproliferative glomerulonephritis.	Kidney Int	1993
		Folkman		Angiogenesis,		
		Folkman		Angiogenesis,		
	5039962	Folkman,	Folkman J	Angiogenesis in psoriasis: therapeutic implications.	J Invest Dermatol	1972
		Folkman,		Ch. 24. Angiogenesis,		
	22348394	Folkman,		Tumor Angiogenesis: Therapeutic Implications,		
	20376344	Folkman,		What is the Evidence that Tumors are Angiogenesis Dependent?		
	1676428	Gazit	Gazit A	Tyrphostins. 2. Heterocyclic and alpha-substituted benzylidenemalononitrile tyrphostins as potent inhibitors of EGF receptor and ErbB2/neu tyrosine kinases.	J Med Chem	1991
	1676428	Gazit	Gazit A	Tyrphostins. 2. Heterocyclic and alpha-substituted benzylidenemalononitrile tyrphostins as potent inhibitors of EGF receptor and ErbB2/neu tyrosine kinases.	J Med Chem	1991
		Goldring		Cytokines and Cell Growth Control,		
	2626014	Gottardis		Estradiol-Stimulated Growth of MCF-7 Tumors Implanted in Athymic Mice: A Model to Study the Tumoristatic Action of Tamoxifen,		
	2626014	Gottardis		Estradiol-Stimulated Growth of MCF-7 Tumors Implanted in Athymic Mice: A Model to Study the Tumoristatic Action of Tamoxifen,		
	8387483	Graziani	Graziani A	Hepatocyte growth factor/scatter factor stimulates the Ras-guanine nucleotide exchanger.	J Biol Chem	1993
	8387483	Graziani	Graziani A	Hepatocyte growth factor/scatter factor stimulates the Ras-guanine nucleotide exchanger.	J Biol Chem	1993
		Hewgill		Phenanthrene-4,5-quinones: a Synthesis of Morphenol,		
		Hirao		Rhodium-Catalyzed Carbonylation of 2-Alkynylaniline: Syntheses of 1,3-Dihydroindol-2-ones,		
		Hirao		Rhodium-Catalyzed Carbonylation of 2-Alkynylaniline: Syntheses of 1,3-Dihydroindol-2-ones,		
	23098095	Hodges		Chemical and biological properties of some oxindolidyl-3-methines,		
	3260862	Honegger		Point Mutation at the ATP Binding Site of EGF Receptor Abolishes Protein-Tyrosine Kinase Activity and Alters Cellular Routing,		
	3260862	Honegger		Point Mutation at the ATP Binding Site of EGF Receptor Abolishes Protein-Tyrosine Kinase Activity and Alters Cellular Routing,		
	1464614	Houck	Houck KA	Dual regulation of vascular endothelial growth factor bioavailability by genetic and proteolytic mechanisms.	J Biol Chem	1992
	1464614	Houck	Houck KA	Dual regulation of vascular endothelial growth factor bioavailability by genetic and proteolytic mechanisms.	J Biol Chem	1992
		Howard		Synthesis and aldose reductase inhibitory activity of substituted 2(1H)-benzimidalzolone-to and oxindole-1-acetic acids,		
		Howard		Synthesis and aldose reductase inhibitory activity of substituted 2(1H)-benzimidalzolone-to and oxindole-1-acetic acids,		
	26731698	Howard,		Lactam Derivatives,		
	1372091	Hu	Hu P	Interaction of phosphatidylinositol 3-kinase-associated p85 with epidermal growth factor and platelet-derived growth factor receptors.	Mol Cell Biol	1992
		Ijaz		The Conversion of o,beta-Dinitrostyrenes into Indoles and the Preparation of Oxindole Quinones,		
		Ijaz		The Conversion of o,β-Dinitrostyrenes into Indoles and the Preparation of Oxindole Quinones,		
	7520755	Jellinek	Jellinek D	Inhibition of receptor binding by high-affinity RNA ligands to vascular endothelial growth factor.	Biochemistry	1994
	7520755	Jellinek	Jellinek D	Inhibition of receptor binding by high-affinity RNA ligands to vascular endothelial growth factor.	Biochemistry	1994
	8443409	Kashishian		Phosphorylation Sites at the C-terminus of the Platelet-Derived Growth Factor Receptor Bind Phospholipase Cgamma1,		
	8443409	Kashishian		Phosphorylation Sites at the C-terminus of the Platelet-Derived Growth Factor Receptor Bind Phospholipase Cγ1,		
		Kashishian		Phosphorylation sites in the PDGR receptor with different specificities for binding GAP and PI3 kinase in vivo,		
	8376494	Kato	Kato Y	Simultaneous determination of amfenac sodium and its metabolite (7-benzoyl-2-oxindole) in human plasma by high-performance liquid chromatography.	J Chromatogr	1993
	8376494	Kato	Kato Y	Simultaneous determination of amfenac sodium and its metabolite (7-benzoyl-2-oxindole) in human plasma by high-performance liquid chromatography.	J Chromatogr	1993
		Katritzky		Color and Constitution. Part 8[1]. Some Novel Dyestuffs Containing Indoxyl Residues,		
	7688466	Kazlauskas	Kazlauskas A	The 64-kDa protein that associates with the platelet-derived growth factor receptor beta subunit via Tyr-1009 is the SH2-containing phosphotyrosine phosphatase Syp.	Proc Natl Acad Sci U S A	1993
	7688466	Kazlauskas	Kazlauskas A	The 64-kDa protein that associates with the platelet-derived growth factor receptor beta subunit via Tyr-1009 is the SH2-containing phosphotyrosine phosphatase Syp.	Proc Natl Acad Sci U S A	1993
	8248162	Kendall	Kendall RL	Inhibition of vascular endothelial cell growth factor activity by an endogenously encoded soluble receptor.	Proc Natl Acad Sci U S A	1993
		Khalil		Synthesis of New Mero- and Asymmetrical Pyrazolo-Monomethine Cyanine Dyes,		
		Khalil		Synthesis of New Mero- and Asymmetrical Pyrazolo-Monomethine Cyanine Dyes,		
		Kikumoto		The Reactions of Oxindoles and Isatin with Nitrobenzyl Chlorides,		
		Kikumoto		The Reactions of Oxindoles and Isatin with Nitrobenzyl Chlorides,		
	20406854	Kim		Inhibition of vascular endothelial growth factor-induced angiogenesis suppresses tumour growth in vivo,		
	1370939	Kinsella	Kinsella JL	Protein kinase C regulates endothelial cell tube formation on basement membrane matrix, Matrigel.	Exp Cell Res	1992
	1370939	Kinsella	Kinsella JL	Protein kinase C regulates endothelial cell tube formation on basement membrane matrix, Matrigel.	Exp Cell Res	1992
	15335866	Klagsbrun	Klagsbrun M	VEGF/VPF: the angiogenesis factor found?	Curr Biol	1993
	15335866	Klagsbrun	Klagsbrun M	VEGF/VPF: the angiogenesis factor found?	Curr Biol	1993
	925872	Kobayashi		Anti-tumor Activity of Indole Derivatives,		
	1708916	Koch	Koch CA	SH2 and SH3 domains: elements that control interactions of cytoplasmic signaling proteins.	Science	1991
	15728446	Kohler		Continuous cultures of fused cells secreting antibody of predefined specificity,		
	7689722	Komada	Komada M	The cell dissociation and motility triggered by scatter factor/hepatocyte growth factor are mediated through the cytoplasmic domain of the c-Met receptor.	Oncogene	1993
	1401070	Korc		Overexpression of the Epidermal Growth Factor Receptor in Human Pancreatic Cancer is Associated with Concomitant Increases in the Levels of Epidermal Growth Factor Transforming Growth Factor Alpha,		
	28067822	Korzeniew		An Enzyme-Release Assay for Natural Cytotoxicity,		
	28067822	Korzeniew		An Enzyme-Release Assay for Natural Cytotoxicity,		
		Kovac		Furan derivatives. LXXX. Synthesis and properties of substituted furfurylidenoxindoles,		
		Krueger		A human transmembrane protein-tyrosine-phosphatase, PTPb, is expressed in brain and has an N-terminal receptor domain homologous to carbonic anhydrases,		
	1306311	Kumabe		Amplification of α-platelet-derived growth factor receptor gene lacking an exon coding for a portion of the extracellular region in a primary brain tumor of glial origin,		
		Lal		Novel Diuretic Agents: Syntheses of Substituted Isatylidenes & 3-Alkyl or 3-Arylalkyl-2-oxindoles,		
		Larock		Synthesis of Nitrogen Heterocycles via Palladium-catalyzed Intramolecular Cyclization,		
	1324943	Lee	Lee BA	Intracellular retention of membrane-anchored v-sis protein abrogates autocrine signal transduction.	J Cell Biol	1992
		Levitzki		Tyrosine Kinase Inhibition: An Approach to Drug Development,		
	7509144	Maass	Maass G	Viral resistance to the thiazolo-iso-indolinones, a new class of nonnucleoside inhibitors of human immunodeficiency virus type 1 reverse transcriptase.	Antimicrob Agents Chemother	1993
	2156621	Macaulay	Macaulay VM	Autocrine function for insulin-like growth factor I in human small cell lung cancer cell lines and fresh tumor cells.	Cancer Res	1990
		Mariani		Inhibition of angiogenesis by FCE 26806, a potent tyrosine kinase inhibitor,		
		Martin-Leon		On the Cyclization to the Elusive Amino-4H-pyran Ring Some New Facts,		
		Mel'nikova		Indole chemistry. XXXVIII. Cleavage of a carbon-carbon bond during the reaction of 2-amiinoindoles with difunctional compounds,		
		Millauer		High Affintiy VEGF Binding and Developmental Expression Suggest Flk-1 as a Major Regulator of Vasculogenesis and Angiogenesis,		
	25317566	Mohammadi		Structures of the Tyrosine Kinase Domain of Fibroblast Growth Factor Receptor in Complex with Inhibitors,		
	583222	Moreto	Moretó M	3,3-Bis-(4-hydroxyphenyl)-7-methyl-2-indolinone (BHMI), the active metabolite of the laxative sulisatin.	Arzneimittelforschung	1979
	1261595	Moreto	Moretó M	Study of the laxative properties of the disodium salt of the sulfuric diester of 3,3-bis-(4-hydroxyphenyl)-7-methyl-2-indolinone (DAN-603 in the rat.	Eur J Pharmacol	1976
	3057494	Morrison	Morrison DK	Signal transduction from membrane to cytoplasm: growth factors and membrane-bound oncogene products increase Raf-1 phosphorylation and associated protein kinase activity.	Proc Natl Acad Sci U S A	1988
	6606682	Mosmann,	Mosmann T	Rapid colorimetric assay for cellular growth and survival: application to proliferation and cytotoxicity assays.	J Immunol Methods	1983
		Neber		On the action of benzaldehydes on the free o-aminophenylacetic acid (II),		
	7692233	Nishimura	Nishimura R	Two signaling molecules share a phosphotyrosine-containing binding site in the platelet-derived growth factor receptor.	Mol Cell Biol	1993
	5115689	Nodiff		Antimalarial Phenanthrene Amino Alcohols. 1. Fluorine-Containing 3- and 6-Substituted 9- Phenanthrenemethanols,		
	1099200	Nodiff	Nodiff EA	Antimalarial phenanthrene amino alcohols. 3. Halogen-containing 9-phenanthrenemethanols.	J Med Chem	1975
	25212826	Osborne		Effect of Estrogens and Antiestrogens on Growth of Human Breast Cancer Cells in Athymic Nude Mice,		
	1149277	O'Sullivan	O'Sullivan WI	The preparation and possible clinical significance of 4'-dialkylaminoisoindogenides.	Clin Chim Acta	1975
	7398723	Ozzello	Ozzello L	Behavior of tumors produced by transplantation of human mammary cell lines in athymic nude mice.	Eur J Cancer	1980
		Pavlenko		Introduction of aminomethyl groups into heterocyclic CH-acid molecules,		
		Perkin		Harmine and Harmaline. Part II. The Synthesis of isoHarman,		
	26666269	Plate		Vascular endothelial growth factor is potential tumor angiogenesis factor in human gliomas in vivo,		
		Plowman		Receptor Tyrosine Kinases as Targets for Drug Intervention,		
	8356051	Quinn	Quinn TP	Fetal liver kinase 1 is a receptor for vascular endothelial growth factor and is selectively expressed in vascular endothelium.	Proc Natl Acad Sci U S A	1993
	1465135	Rozakis-Adcock	Rozakis-Adcock M	Association of the Shc and Grb2/Sem5 SH2-containing proteins is implicated in activation of the Ras pathway by tyrosine kinases.	Nature	1992
		Ruveda		Geometric isomerism in benzylideneoxindoles,		
	17504422	Rygaard		Heterotransplantation of a Human Malignant Tumour to ‘Nude’ Mice,		
		Sainsbury		Electrochemical Oxidation of Aromatic Ethers. Part 5. 1 Further Studies of the Coupling Reactions of Alkoxylated Aralkyl- and Aryl-amides,		
	26306008	Saito		Molecular Characterization of Protein Tyrosine Phosphatases,		
	8495408	Sandberg-Nordqvist	Sandberg-Nordqvist AC	Characterization of insulin-like growth factor 1 in human primary brain tumors.	Cancer Res	1993
		Schindler		Über Dibenz[b,f]-azocin-Derivate,		
	20208517	Schlessinger		Growth Factor Signalling by Receptor Tyrosine Kinases,		
	1985785	Schuchter	Schuchter LM	Successful treatment of murine melanoma with bryostatin 1.	Cancer Res	1991
	6831445	Seibert	Seibert K	Clonal variation of MCF-7 breast cancer cells in vitro and in athymic nude mice.	Cancer Res	1983
	6265682	Shafie	Shafie SM	Role of hormones in the growth and regression of human breast cancer cells (MCF-7) transplanted into athymic nude mice.	J Natl Cancer Inst	1981
		Shibuya		Nucleotide sequence and expression of a novel human receptor-type tyrosine kinase gene (flt) closely realted to the fms family,		
	2706625	Shiraishi		Specific inhibitors of Tyrosine-Specific Protein Kinase, Synthetic 4-Hydroxycinnamamide Derivatives,		
	2706625	Shiraishi	Shiraishi T	Specific inhibitors of tyrosine-specific protein kinases: properties of 4-hydroxycinnamamide derivatives in vitro.	Cancer Res	1989
	7525061	Shweiki		Vascular endothelial growth factor induced by hypoxia may mediate hypoxia-initiated angiogenesis,		
	2501946	Singh	Singh SP	Indolinone derivatives as potential antimicrobial agents.	Zentralbl Mikrobiol	1989
	8003285	Singh	Singh GS	Synthesis and anticonvulsant activity of new 1-substituted 1'-methyl-3-chloro-2-oxospiro (azetidin-3',4-indol-2' ones).	Boll Chim Farm	1994
		Skehan		New Colorimetric Cytotoxicity Assay for Anticancer-Drug Screening,		
	17486079	Slamon		Studies of the HER-2/neu Proto-oncogene in Human Breast and Ovarian Cancer,		
	8760293	Soldi	Soldi R	Platelet-activating factor (PAF) induces the early tyrosine phosphorylation of focal adhesion kinase (p125FAK) in human endothelial cells.	Oncogene	1996
	17956856	Songyang		SH2 Domains Recognize Specific Phosphopeptide Sequences,		
	7511210	Songyang	Songyang Z	Specific motifs recognized by the SH2 domains of Csk, 3BP2, fps/fes, GRB-2, HCP, SHC, Syk, and Vav.	Mol Cell Biol	1994
		Spada,		Small molecule inhibitors of tyrosine kinase activity,		
		Stetinova		Stereochemistry and Photoisomerisation of Furfurylideneoxindoles,		
		Sumpter		Chapter IV—Oxindole,		
	9651163	Sun	Sun L	Synthesis and biological evaluations of 3-substituted indolin-2-ones: a novel class of tyrosine kinase inhibitors that exhibit selectivity toward particular receptor tyrosine kinases.	J Med Chem	1998
	10602697	Sun	Sun L	Design, synthesis, and evaluations of substituted 3-[(3- or 4-carboxyethylpyrrol-2-yl)methylidenyl]indolin-2-ones as inhibitors of VEGF, FGF, and PDGF receptor tyrosine kinases.	J Med Chem	1999
		Superti-Furga		A functional screen in yeast for regulators and antagonizers of heterologous protein tyrosine kinases,		
	7687537	Superti-Furga	Superti-Furga G	Csk inhibition of c-Src activity requires both the SH2 and SH3 domains of Src.	EMBO J	1993
		Tacconi		Preparazione e caratteristiche di alcuni 3-ossindolidenderivati,		
		Tacconi		(Z)- and (E)-3-Alkylidene-1,3-dihydroindol-2-ones: Influence of Configuration on the Transmission of the Inductive Effect to the Carbonyl Group,		
		Takano		Inhibition of angiogenesis by a novel diaminoanthraquinone that inhibits Protein Kinase C,		
		Terrett		Combinatorial Synthesis—The Design of Compound Libraries and their Application to Drug Discovery,		
		Thio		The Interconversion of 2-(2-Aminophenyl)-3-piperolidinone and 3-(2-piperidylmethyl)-2-indolinone: A Reversible N=N'Transacylation,		
		Thompson		Facile Dimerisation of 3-Benzylideneindoline-2-thiones,		
	20331873	Torp	Gulati S	Overexpression of c-erbB2 is a negative prognostic factor in anaplastic astrocytomas.	Diagn Pathol	2010
		Traxler,		Protein tyrosine kinase inhibitors in cancer treatment,		
		Treibs,		Über isoindigoide Farbstoffe der Pyrrol-Reihe,		
	14514875	Tsai		The Effect of 3,3-Di-Pyridyl Methy-1-Phenyl-2-Indolinone on the Nerve Terminal Currents of Mouse Skeletal Muscles,		
	1671751	Tuzi	Tuzi NL	Expression of growth factor receptors in human brain tumours.	Br J Cancer	1991
	8356071	Twamley-Stein	Twamley-Stein GM	The Src family tyrosine kinases are required for platelet-derived growth factor-mediated signal transduction in NIH 3T3 cells.	Proc Natl Acad Sci U S A	1993
	16478662	Ullrich		Signal Transduction by Receptors with Tyrosine Kinase Activity,		
	2246236	Vaisman	Vaisman N	Characterization of the receptors for vascular endothelial growth factor.	J Biol Chem	1990
		Varma		Nucleophilic Reactions of 2-Methyl-3-(4′-carbomethoxyphenyl)-4-quinazolinones with 2-Indolinones,		
	6817945	Voller		Ch. 45—Enzyme-Linked Immunosorbent Assay,		
		Wahl		3-benzilidene-5-methyl-1,3-dihydroindol-2-one,		
	23351142	Wahl		Chimie Organique—Sur les iso-indogenides,		
		Walker		Synthesis of New 3-(Pyridylmethylene)-, 3-(Pyridylmethyl)-, 3-(Piperidylmethl)-, and 3-(β-Alkylaminoethyl)-2-indolinones. The Reduction of Isoindogenides, Nitro Compounds, and Pyridines in a Series of 2-Indolinones,		
	5867939	Walker,		Synthesis of a α-(p-Aminophenyl)-and α-(p-Chlorophenyl)-β-aryl-propionitriles by Catalytic Reduction of Stilbenenitriles,		
	1680817	Warri	Wärri AM	Estrogen suppression of erbB2 expression is associated with increased growth rate of ZR-75-1 human breast cancer cells in vitro and in nude mice.	Int J Cancer	1991
	12817881	Weidner		Tumor Angiogenesis and Metastasis—Correlation in Invasive Breast Carcinoma,		
	582669	Winkelmann	Winkelmann E	Chemotherapeutically active nitro-derivatives. 4. 5-Nitroimidazoles (Part IV).	Arzneimittelforschung	1978
		Wright		Cyclic Hydroxamic Acids Derived from Indole,		
	23484006	Wright		Inhibition of Angiogenesis in Vitro and In Ovo With an Inhibitor of Cellular Protein Kinases, MDL 27032,		
		Young		2-(2-Methyl-3-indolyl)-1,4-benzoquinone, a Reversible Redox Substrate at the Carbon-Paste Electrode in Acidic Aqueous-Ethanolic Media,		
	9920285	Zaman	Zaman GJ	Tyrosine kinase activity of purified recombinant cytoplasmic domain of platelet-derived growth factor beta-receptor (beta-PDGFR) and discovery of a novel inhibitor of receptor tyrosine kinases.	Biochem Pharmacol	1999
	8632761	Zhang	Zhang X	Microtubule effects of welwistatin, a cyanobacterial indolinone that circumvents multiple drug resistance.	Mol Pharmacol	1996
		Zhungietu		Reaction of Indoles and 2-Ketoindolines With Some Aldehydes,		
