derived from espacenet...

"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"Treatment of cancer","GB2537053 (A)","2016-10-05","JOE CONNER [GB]","VIRTTU BIOLOGICS LTD [GB]","A61K35/76; A61K38/00; A61K45/06; A61P35/00","A61K45/06; A61K35/763; G01N33/5011; G01N2500/04; G01N2500/10; A61K35/763; A61K2300/00; A61K38/005; A61K45/06; A61K35/763","GB20160007581","20140221","GB20130003184 20130222; GB20140003083 20140221","","","","","","","","","","","","","",""
"Preparation method of sunitinib malate crystal form (I)","CN105712979 (A)","2016-06-29","ZHU SHAOXUAN;  HUANG XIAOGUANG;  WANG JIANSONG;  BAO YINGXIA;  YE HAIHONG;  YU ZHUMING;  HU HAIRONG;  FENG JIN;  CHEN MAO","GUANGZHOU BAIYUNSHAN PHARMACEUTICAL GROUP CO LTD BAIYUNSHAN PHARMACEUTICAL GENERAL FACTORY","C07D403/06","","CN20141730965","20141205","CN20141730965 20141205","","","","","","","","","","","","","",""
"Novel sunitinib derivative, and preparation method and application thereof","CN105622680 (A)","2016-06-01","FENG DONGXIANG;  SHEN CHAO;  XIANG JIAYUN;  HUANG CHENLEI;  YANG MING","HANGZHOU LUPU BIOTECHNOLOGY CO LTD","C07H13/10; A61P35/00; C07H1/00","","CN20151976654","20151222","CN20151976654 20151222","","","","","","","","","","","","","",""
"Medicinal composition with synergic anti-tumor effect and application thereof","CN105434435 (A)","2016-03-30","ZHANG YANMIN;  DAI BINGLING;  WANG WENJIE;  MA YUJIAO;  ZHAN YINGZHUAN;  ZHANG DONGDONG;  LIU RUI;  QI JUNPENG","XI'AN JIAOTONG UNIV","A61K31/4375; A61K31/404; A61P35/00; A61P35/04","","CN20151889592","20151207","CN20151889592 20151207","","","","","","","","","","","","","",""
"Renal cell carcinoma treatment medicine sunitinib-PLGA/Fe3O4 composite microsphere and preparation method thereof","CN105434399 (A)","2016-03-30","SHUAI FANGWEN;  WANG XIANGFENG;  ZHANG JIAWEI","HUNAN ER-KANG PHARMACEUTICAL CO LTD","A61K9/50; A61K31/404; A61K47/02; A61K47/34; A61P35/00","","CN20151978596","20151224","CN20151978596 20151224","","","","","","","","","","","","","",""
"Kit for detecting lncARSR in serum and application of kit in detection of kidney cancer sunitinib drug resistance","CN105256036 (A)","2016-01-20","QU LE;  CHEN CHENG;  WANG LINHUI;  LIU BING;  WU ZHENJIE;  ZHANG WEN","UNIV PLA 2ND MILITARY MEDICAL","C12Q1/68","","CN20151703053","20151026","CN20151703053 20151026","","","","","","","","","","","","","",""
"Application of AXL/c-Met inhibitor in preparation of drug for reversing renal cancer sunitinib drug resistance","CN105251023 (A)","2016-01-20","QU LE;  CHEN CHENG;  WANG LINHUI;  LIU BING;  WU ZHENJIE;  ZHANG WEN","UNIV PLA 2ND MILITARY MEDICAL","A61K48/00; A61K31/404; A61P35/00","","CN20151689942","20151022","CN20151689942 20151022","","","","","","","","","","","","","",""
"SUNITINIB FORMULATIONS AND METHODS FOR USE THEREOF IN TREATMENT OF GLAUCOMA","WO2016100380 (A1)","2016-06-23","FU JIE [US];  HANES JUSTIN [US];  ZACK DONALD JEFFREY [US];  YANG ZHIYONG [US];  WELSBIE DEREK STUART [US];  BERLINICKE CYNTHIA ANN [US]","UNIV JOHNS HOPKINS [US]","A61K9/00; A61K9/16; A61K9/19; A61K31/404; A61P27/02","A61K9/0051; A61K9/1647; A61K9/19; A61K31/404","WO2015US65878","20151215","US201462092118P 20141215; US201562139306P 20150327","","","","","","","","","GB929406 (A); GB929401 (A); US3266987 (A); US4794000 (A); US4460563 (A); US5019400 (A); US4997652 (A); US2010124565 (A1)","","WO2013177367 (A2)","XP029046400","",""
"Method of treating gastrointestinal stromal tumors","NZ622155 (A)","2015-12-24","MONAHAN JOHN E;  LI FANG","NOVARTIS AG","A61K31/4439; A61K31/4745; A61K31/506; A61K31/5377; A61K45/06","A61K45/06; A61K31/404; A61K31/4439; A61K31/4745; A61K31/506; A61K31/5377; A61K31/496; A61K31/4439; A61K2300/00; A61K31/4745; A61K2300/00; A61K31/506; A61K2300/00; A61K31/5377; A61K2300/00; A61K31/404; A61K2300/00","NZ20120622155","20121024","WO2012US61532 20121024; US201161552633P 20111028","","","","","","","","","","","","","",""
"TOPICAL OPHTHALMOLOGICAL PHARMACEUTICAL COMPOSITION CONTAINING SUNITINIB","HK1204992 (A1)","2015-12-11","BTTGER MICHAEL;  VON DEGENFELD GEORGES;  FREUNDLIEB JULIA;  HIRTH-DIETRICH CLAUDIA;  KELDENICH JOERG;  KLAR JRGEN;  MUENSTER UWE;  OHM ANDREAS;  RICHTER ANNETT;  RIEDL BERND;  TELSER JOACHIM","BAYER HEALTHCARE LLC [US]","A61K","A61K9/0048; A61K47/06; A61K31/404; A61K9/10","HK20150105934","20150623","WO2013US44953 20130610; PK20120000405 20120625; WO2012EP62365 20120626; VE20120000816 20120627; JO20120000170 20120627; EP20120198651 20121220","","","","","","","","","","","","","",""
"New sunitinib malate crystal form and preparation method therefor","CN105085490 (A)","2015-11-25","THE INVENTOR HAS WAIVED THE RIGHT TO BE MENTIONED","SHANGHAI SYNCORES TECHNOLOGIES INC","C07D403/06; C07C51/41; C07C59/245","","CN20141193624","20140509","CN20141193624 20140509","","","","","","","","","","","","","",""
"Composition and application thereof on suppression of osteosarcoma proliferation","CN105078972 (A)","2015-11-25","WU SUJIA;  ZHOU GUANGXIN;  LIU XIAOZHOU;  HU BIN","NANJING GENERAL HOSPITAL NANJING MILITARY AREA COMMAND PLA","A61K31/404; A61K31/282; A61P35/00","","CN20141187437","20140505","CN20141187437 20140505","","","","","","","","","","","","","",""
"""SALTS OF SUNITINIB""","IN3290DEN2012 (A)","2015-10-23","SUDHIR SINGH SANWAL [IN];  SARIDI MADHAVA DILEEP KUMAR [IN];  SWARGAM SATHYANARAYANA [IN];  RAJESH KUMAR THAPER [IN];  MOHAN PRASAD [IN]","RANBAXY LAB LTD [IN]","C07D403/06","","IN2012DELNP3290","20120416","WO2010IB54196 20100916","","","","","","","","","","","","","",""
"METHOD OF TREATING GASTROINTESTINAL STROMAL TUMORS","IN10801DEN2014 (A)","2015-09-04","MONAHAN JOHN E [US];  LI FANG [US]","NOVARTIS AG [CH]","A61K31/506; A61P35/00","A61K45/06; A61K31/404; A61K31/496; A61K31/506; A61K31/4709; A61K31/506; A61K2300/00; A61K31/404; A61K2300/00; A61K31/496; A61K2300/00; A61K31/4709; A61K2300/00","IN2014DELNP10801","20141217","US201261670168P 20120711; WO2012US61535 20121024; WO2013US36273 20130412","","","","","","","","","","","","","",""
"Renal cancer sunitinib drug-resistant cell system and establishing method thereof","CN104988122 (A)","2015-10-21","QU LE;  WANG LINHUI;  LIU BING;  CHEN CHENG;  WU ZHENJIE;  ZHANG WEN","UNIV PLA 2ND MILITARY MEDICAL","C12N5/09; C12Q1/02; C12R1/91","","CN20151304372","20150604","CN2015114940 20150113; CN20151304372 20150604","","","","","","","","","","","","","",""
